latitude,longitude
-8971617.404,3266048.745
-8971617.404,3266058.745
-8971627.404,3266058.745
-8971627.404,3266048.745
-8971627.404,3266038.745
-8971637.404,3266018.745
-8971637.404,3266028.745
-8971637.404,3266038.745
-8971637.404,3266048.745
-8971637.404,3266058.745
-8971647.404,3266058.745
-8971647.404,3266048.745
-8971647.404,3266038.745
-8971647.404,3266028.745
-8971647.404,3266018.745
-8971647.404,3266008.745
-8971657.404,3265988.745
-8971657.404,3265998.745
-8971657.404,3266008.745
-8971657.404,3266018.745
-8971657.404,3266028.745
-8971657.404,3266038.745
-8971657.404,3266048.745
-8971657.404,3266058.745
-8971667.404,3266058.745
-8971667.404,3266048.745
-8971667.404,3266038.745
-8971667.404,3266028.745
-8971667.404,3266018.745
-8971667.404,3266008.745
-8971667.404,3265998.745
-8971667.404,3265988.745
-8971667.404,3265978.745
-8971677.404,3265968.745
-8971677.404,3265978.745
-8971677.404,3265988.745
-8971677.404,3265998.745
-8971677.404,3266008.745
-8971677.404,3266018.745
-8971677.404,3266028.745
-8971677.404,3266038.745
-8971677.404,3266048.745
-8971677.404,3266058.745
-8971687.404,3266058.745
-8971687.404,3266048.745
-8971687.404,3266038.745
-8971687.404,3266028.745
-8971687.404,3266018.745
-8971687.404,3266008.745
-8971687.404,3265998.745
-8971687.404,3265988.745
-8971687.404,3265978.745
-8971687.404,3265968.745
-8971697.404,3265978.745
-8971697.404,3265988.745
-8971697.404,3265998.745
-8971697.404,3266008.745
-8971697.404,3266018.745
-8971697.404,3266028.745
-8971697.404,3266038.745
-8971697.404,3266048.745
-8971697.404,3266058.745
-8971707.404,3266058.745
-8971707.404,3266048.745
-8971707.404,3266038.745
-8971707.404,3266028.745
-8971707.404,3266018.745
-8971707.404,3266008.745
-8971707.404,3265998.745
-8971707.404,3265988.745
-8971707.404,3265978.745
-8971717.404,3265988.745
-8971717.404,3265998.745
-8971717.404,3266008.745
-8971717.404,3266018.745
-8971717.404,3266028.745
-8971717.404,3266038.745
-8971717.404,3266048.745
-8971717.404,3266058.745
-8971727.404,3266058.745
-8971727.404,3266048.745
-8971727.404,3266038.745
-8971727.404,3266028.745
-8971727.404,3266018.745
-8971727.404,3266008.745
-8971727.404,3265998.745
-8971727.404,3265988.745
-8971737.404,3265998.745
-8971737.404,3266008.745
-8971737.404,3266018.745
-8971737.404,3266028.745
-8971737.404,3266038.745
-8971737.404,3266048.745
-8971737.404,3266058.745
-8971747.404,3266058.745
-8971747.404,3266048.745
-8971747.404,3266038.745
-8971747.404,3266028.745
-8971747.404,3266018.745
-8971747.404,3266008.745
-8971757.404,3266008.745
-8971757.404,3266018.745
-8971757.404,3266028.745
-8971757.404,3266038.745
-8971757.404,3266048.745
-8971757.404,3266058.745
-8971767.404,3266058.745
-8971767.404,3266048.745
-8971767.404,3266038.745
-8971767.404,3266028.745
-8971767.404,3266018.745
-8971777.404,3266018.745
-8971777.404,3266028.745
-8971777.404,3266038.745
-8971777.404,3266048.745
-8971777.404,3266058.745
-8971787.404,3266058.745
-8971787.404,3266048.745
-8971787.404,3266038.745
-8971787.404,3266028.745
-8971797.404,3266028.745
-8971797.404,3266038.745
-8971797.404,3266048.745
-8971797.404,3266058.745
-8971807.404,3266068.745
-8971807.404,3266058.745
-8971807.404,3266048.745
-8971807.404,3266038.745
-8971817.404,3266038.745
-8971817.404,3266048.745
-8971817.404,3266058.745
-8971817.404,3266068.745
-8971817.404,3266078.745
-8971827.404,3266078.745
-8971827.404,3266068.745
-8971827.404,3266058.745
-8971827.404,3266048.745
-8971837.404,3266058.745
-8971837.404,3266068.745
-8971837.404,3266078.745
-8971837.404,3266088.745
-8971847.404,3266088.745
-8971847.404,3266078.745
-8971847.404,3266068.745
-8971847.404,3266058.745
-8971857.404,3266068.745
-8971857.404,3266078.745
-8971857.404,3266088.745
-8971867.404,3266088.745
-8971867.404,3266078.745
-8971867.404,3266068.745
-8971877.404,3266078.745
-8971877.404,3266088.745
-8971887.404,3266088.745
-8971887.404,3266078.745
-8971897.404,3266088.745
-8971907.404,3266088.745
